Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth.csrf,50,0,3300.0,2878.1830367599996,87.19304099999903,4442.930417000003,80.0,0.4304283019514289,0.0,3400,3600,3700,3800,4200,4300,4400,4400,4400,4400,4400
POST,auth.login,50,47,840.0,949.1211100799993,697.7668329999993,4907.486417000001,119.02,0.4304283019514289,0.40460260383434316,840,900,950,980,1000,1100,4900,4900,4900,4900,4900
GET,auth.session,3,0,910.0,956.6524723333315,859.2132919999997,1095.8954999999974,117.0,0.025825698117085735,0.0,910,910,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,chat.unread_counts,201,193,9,239.30976598009877,2.7974169999964715,4704.6183749999955,23.442786069651742,1.730321773844744,1.6614532455325155,9,33,81,150,510,1400,3100,3300,4700,4700,4700
POST,community.posts.comment,2,0,140.0,567.611541999998,137.17333399999632,998.0497499999999,249.0,0.017217132078057154,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,community.posts.comments.list,3,0,1600.0,1141.3051113333358,123.77041700000291,1703.0407499999997,320.0,0.025825698117085735,0.0,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,community.posts.create,8,7,14,93.22288012500124,9.877333000005706,409.64929199999744,59.875,0.06886852831222862,0.060259962273200046,22,120,150,150,410,410,410,410,410,410,410
POST,community.posts.like,5,0,340.0,1327.7672915999997,163.00008300000002,3764.0378749999995,29.2,0.04304283019514289,0.0,340,2100,2100,3800,3800,3800,3800,3800,3800,3800,3800
GET,community.posts.list,695,657,25,337.5792013366904,7.7532499999932725,4600.750458,94.40287769784173,5.982953397124861,5.655827887641776,25,96,240,460,850,2200,3400,3900,4600,4600,4600
GET,friends.requests.incoming,340,320,11,265.6816703382357,2.674332999994533,3604.2910000000034,23.470588235294116,2.9269124532697166,2.754741132489145,11,40,100,210,730,2300,2900,3300,3600,3600,3600
GET,users.me,278,259,54,350.4743550611513,2.556083000001763,3701.633915999999,34.55755395683453,2.3931813588499447,2.229618604108402,54,220,380,460,1000,2000,3300,3500,3700,3700,3700
,Aggregated,1635,1483,25,413.86016464159036,2.556083000001763,4907.486417000001,61.34189602446483,14.075005473811725,12.76650343587938,25,140,340,550,1200,3000,3600,3900,4700,4900,4900
